iter	Passed	Remaining
0	0	35
1	0	40
2	1	39
3	1	39
4	1	36
5	2	34
6	2	32
7	2	30
8	2	29
9	3	28
10	3	28
11	3	27
12	4	26
13	4	26
14	4	25
15	4	25
16	4	24
17	5	23
18	5	23
19	5	22
20	5	22
21	6	21
22	6	21
23	6	20
24	6	20
25	7	20
26	7	19
27	7	19
28	7	19
29	8	18
30	8	18
31	8	18
32	8	17
33	9	17
34	9	17
35	9	16
36	9	16
37	9	16
38	10	15
39	10	15
40	10	15
41	10	15
42	11	14
43	11	14
44	12	14
45	12	14
46	12	14
47	13	14
48	14	14
49	14	14
50	14	14
51	15	14
52	16	14
53	16	13
54	16	13
55	17	13
56	17	13
57	17	12
58	18	12
59	18	12
60	19	12
61	19	11
62	19	11
63	20	11
64	20	10
65	20	10
66	20	10
67	21	10
68	22	10
69	22	9
70	23	9
71	23	9
72	24	9
73	25	8
74	25	8
75	25	8
76	25	7
77	26	7
78	26	7
79	27	6
80	27	6
81	27	6
82	27	5
83	28	5
84	28	5
85	28	4
86	29	4
87	30	4
88	31	3
89	32	3
90	33	3
91	33	2
92	34	2
93	34	2
94	34	1
95	35	1
96	35	1
97	35	0
98	36	0
99	36	0
