iter	Passed	Remaining
0	1	1134
1	1	697
2	1	577
3	2	507
4	2	462
5	2	426
6	2	412
7	3	394
8	3	381
9	3	367
10	3	356
11	4	347
12	4	338
13	4	332
14	4	325
15	5	320
16	5	315
17	5	311
18	5	307
19	6	303
20	6	301
21	6	299
22	7	297
23	7	294
24	7	292
25	7	290
26	8	289
27	8	287
28	8	285
29	8	284
30	9	283
31	9	282
32	9	280
33	9	279
34	10	278
35	10	283
36	10	283
37	11	282
38	11	281
39	11	280
40	11	280
41	12	279
42	12	278
43	12	277
44	13	276
45	13	274
46	13	273
47	13	273
48	14	272
49	14	272
50	14	271
51	14	271
52	15	270
53	15	269
54	15	269
55	16	271
56	16	270
57	16	270
58	17	271
59	17	272
60	17	271
61	17	271
62	18	271
63	18	271
64	18	270
65	19	270
66	19	269
67	19	269
68	20	270
69	20	270
70	20	269
71	20	268
72	21	269
73	21	269
74	21	268
75	22	267
76	22	267
77	22	266
78	22	266
79	23	266
80	23	266
81	23	265
82	23	263
83	24	264
84	24	263
85	24	263
86	25	262
87	25	261
88	25	261
89	25	260
90	25	259
91	26	259
92	26	258
93	26	258
94	27	258
95	27	258
96	27	257
97	27	257
98	28	256
99	28	256
100	28	257
101	29	257
102	29	256
103	29	255
104	29	254
105	30	254
106	30	253
107	30	252
108	30	252
109	31	251
110	31	251
111	31	250
112	31	249
113	32	249
114	32	248
115	32	248
116	32	247
117	33	246
118	33	246
119	33	246
120	33	245
121	34	244
122	34	244
123	34	245
124	35	245
125	35	245
126	35	245
127	36	245
128	36	245
129	36	246
130	37	245
131	37	245
132	37	245
133	37	244
134	38	244
135	38	243
136	38	243
137	38	242
138	39	243
139	39	242
140	39	242
141	39	241
142	40	240
143	40	240
144	40	240
145	41	239
146	41	239
147	41	239
148	41	239
149	42	238
150	42	238
151	42	237
152	42	237
153	43	237
154	43	237
155	43	236
156	44	236
157	44	235
158	44	235
159	44	234
160	44	234
161	45	233
162	45	233
163	45	232
164	46	232
165	46	232
166	46	232
167	46	231
168	47	231
169	47	231
170	47	232
171	48	232
172	48	233
173	49	233
174	49	233
175	49	232
176	49	232
177	50	232
178	50	231
179	50	231
180	51	231
181	51	231
182	51	231
183	52	230
184	52	230
185	52	230
186	52	230
187	53	229
188	53	229
189	53	229
190	54	228
191	54	228
192	54	228
193	54	227
194	55	227
195	55	227
196	55	227
197	56	227
198	56	227
199	56	227
200	57	227
201	57	227
202	58	227
203	58	228
204	58	228
205	59	228
206	59	228
207	59	228
208	60	228
209	60	228
210	61	228
211	62	230
212	62	230
213	62	230
214	63	230
215	63	231
216	64	231
217	64	231
218	64	231
219	65	231
220	65	230
221	65	230
222	66	230
223	66	230
224	66	229
225	66	229
226	67	229
227	67	229
228	68	229
229	68	228
230	68	228
231	68	228
232	69	228
233	69	228
234	70	228
235	70	227
236	70	227
237	70	226
238	71	226
239	71	226
240	71	226
241	72	225
242	72	225
243	72	225
244	72	224
245	73	224
246	73	224
247	73	224
248	74	223
249	74	223
250	75	224
251	75	224
252	75	224
253	76	223
254	76	223
255	76	223
